band,type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
radius,radius,35.2643896827549,19.471220634491143,9.91648053598172,4.9807312372884045,2.4931754978010434,1.2471475580453544,0.6236177110305863,0.3118143469898449,0.155907859964516,0.0779540158637003,0.0389770188076538,0.019489,0.009744,0.004872,0.002436,0.001218,0.000609,0.000305,0.000152,7.6e-05
u,overlap,210939.0,210939.0,141915.0,54703.0,14823.0,4097.0,1235.0,445.0,183.0,105.0,66.0,49.0,43.0,40.0,38.0,35.0,34.0,34.0,34.0,34.0
u,htm,448340.0,161102.0,111847.0,48363.0,13926.0,4890.0,1894.0,768.0,143.0,93.0,62.0,48.0,42.0,39.0,37.0,35.0,34.0,34.0,34.0,34.0
g,overlap,300041.0,300041.0,197208.0,75833.0,20144.0,5557.0,1659.0,614.0,231.0,156.0,111.0,81.0,65.0,56.0,54.0,53.0,52.0,52.0,52.0,52.0
g,htm,630501.0,232235.0,161612.0,65032.0,18230.0,6444.0,2642.0,1002.0,192.0,129.0,99.0,76.0,61.0,54.0,53.0,53.0,52.0,52.0,52.0,52.0
r,overlap,693680.0,693680.0,460205.0,177443.0,47353.0,12940.0,3905.0,1348.0,608.0,300.0,212.0,156.0,140.0,124.0,120.0,119.0,118.0,118.0,118.0,118.0
r,htm,1470656.0,541216.0,372544.0,153380.0,44559.0,15676.0,6108.0,2308.0,443.0,254.0,183.0,148.0,132.0,124.0,119.0,118.0,118.0,118.0,118.0,118.0
i,overlap,698545.0,698545.0,465507.0,178966.0,49147.0,14073.0,4415.0,1602.0,698.0,389.0,255.0,196.0,171.0,159.0,151.0,148.0,147.0,146.0,146.0,145.0
i,htm,1481105.0,541584.0,374612.0,159261.0,46497.0,16636.0,6894.0,2697.0,514.0,313.0,229.0,187.0,167.0,155.0,150.0,148.0,146.0,146.0,146.0,146.0
z,overlap,405437.0,405437.0,262771.0,99552.0,25198.0,7077.0,2222.0,822.0,360.0,204.0,135.0,100.0,93.0,88.0,84.0,83.0,83.0,83.0,83.0,83.0
z,htm,858615.0,331053.0,232945.0,80289.0,22889.0,8514.0,3503.0,1413.0,266.0,160.0,117.0,92.0,90.0,87.0,83.0,83.0,83.0,83.0,83.0,83.0
y,overlap,496375.0,496375.0,324957.0,125694.0,30981.0,8340.0,2586.0,940.0,422.0,222.0,143.0,117.0,107.0,99.0,96.0,96.0,94.0,94.0,93.0,93.0
y,htm,1048021.0,402298.0,277700.0,108438.0,29856.0,10986.0,4183.0,1557.0,316.0,177.0,129.0,117.0,105.0,98.0,96.0,95.0,94.0,94.0,93.0,93.0
total,overlap,2805017.0,2805017.0,1852563.0,712191.0,187646.0,52084.0,16022.0,5771.0,2502.0,1376.0,922.0,699.0,619.0,566.0,543.0,534.0,528.0,527.0,526.0,525.0
total,htm,5937238.0,2209488.0,1531260.0,614763.0,175957.0,63146.0,25224.0,9745.0,1874.0,1126.0,819.0,668.0,597.0,557.0,538.0,532.0,527.0,526.0,526.0,525.0
